# partial outage series 2026-09-07: 16 GiB Core, 10 GiB heap, 250 threads, 11,000 devices, netem 75/25 ms. Levels 25/50/75/100% of the fleet dropped silently by /24 blocks on netsim (bin/level.sh); each level 3 cycles, judged over cycles 2-3, then 2 cycles recovery.
time services pending active done_s core% minion% db% heap_gib oldgc_min snmp_mbit core_load events_1m dcfailed_1m dcsucceeded_1m alarms alarms_open_major
14:08:15 11004 0 163 24.2 46.3 20.4 22.7 7.6 0.0 14.2 8.8 669 0 430 2750 1719
14:09:16 11004 0 206 38.5 67.7 31.9 32.0 9.3 0.0 22.0 14.9 696 0 538 2750 1167
14:10:15 11004 21 219 38.8 71.4 31.5 31.5 9.1 0.0 21.8 14.5 593 0 593 2750 581
14:11:16 11004 0 172 39.2 66.4 30.1 29.9 8.5 0.0 21.6 11.2 575 0 575 2712 0
14:12:15 11004 0 205 38.6 67.0 30.5 29.5 8.9 0.0 21.6 11.2 0 0 0 2144 0
14:13:16 11004 0 156 24.3 42.7 19.4 18.7 9.4 0.0 13.7 9.8 0 0 0 1705 0
14:14:15 11004 0 157 38.8 66.5 30.0 29.2 8.3 0.0 21.6 12.9 0 0 0 1174 0
14:15:16 11004 0 193 38.9 68.3 30.5 29.0 9.3 0.0 21.7 13.8 0 0 0 575 0
# LEVEL 50 ON drop rules now: 4 2026-09-07T14:15:51Z  (octets 0-21, 5,500 devices)
14:16:15 11004 0 172 39.6 61.0 25.7 26.0 8.3 0.0 17.7 12.2 512 512 0 512 512
14:17:16 11004 0 182 38.6 40.6 16.5 15.7 7.4 0.0 11.7 6.9 1178 1178 0 1705 1705
14:18:15 11004 0 152 23.9 27.0 10.7 11.3 7.8 0.0 7.7 4.9 806 806 0 2492 2492
14:19:16 11004 0 145 39.0 39.0 16.4 16.4 7.0 0.0 11.7 2.8 1147 1147 0 3651 3651
14:20:15 11004 0 177 39.3 37.0 16.4 17.2 8.2 0.0 11.5 6.0 1211 1211 0 4839 4839
14:21:16 11004 0 132 39.1 37.1 16.8 15.3 8.0 0.0 11.5 3.7 639 639 0 5500 5500
14:22:15 11004 0 187 39.3 36.8 15.8 15.3 5.6 0.0 11.7 5.4 0 0 0 5500 5500
# LEVEL 50 OFF drop rules now: 1 2026-09-07T14:22:29Z 
# LEVEL 50 ON AGAIN drop rules now: 4 2026-09-07T14:22:45Z  (octets 0-21, 5,500 devices; the 14:15:51 attempt was switched off at 14:22:29 by a timing mistake and its window discarded)
14:23:16 11004 0 148 23.6 27.1 13.0 12.1 9.2 0.0 9.2 5.2 126 0 126 5500 5374
14:24:16 11004 0 164 38.8 34.4 17.9 16.4 7.0 0.0 11.7 5.2 0 0 0 5500 5374
14:25:16 11004 0 150 39.2 34.3 16.9 14.0 7.8 0.0 11.5 6.2 0 0 0 5500 5374
14:26:16 11004 0 172 39.3 42.6 17.1 15.8 8.2 0.0 11.6 3.9 0 0 0 5500 5374
14:27:16 11004 0 155 38.8 33.6 17.1 13.8 8.3 0.0 11.7 6.7 0 0 0 5500 5374
14:28:16 11004 0 148 23.6 26.0 11.2 11.5 6.9 0.0 7.8 2.9 126 126 0 5500 5500
14:29:16 11004 0 172 39.1 30.6 16.9 14.1 8.6 0.0 11.6 6.1 0 0 0 5500 5500
14:30:16 11004 0 174 38.9 39.0 17.5 16.8 7.6 0.0 11.8 3.6 130 0 0 5500 5500
14:31:15 11004 0 166 39.6 45.4 18.4 16.0 7.1 0.0 12.1 6.3 246 0 0 5500 5500
14:32:16 11004 0 183 38.5 41.1 18.9 17.7 7.4 0.0 12.2 3.6 241 0 0 5500 5500
14:33:15 11004 0 152 24.0 25.5 11.7 11.3 7.7 0.0 8.1 3.9 201 0 0 5500 5500
14:34:16 11004 0 130 39.3 39.2 18.0 18.1 8.6 0.0 12.1 5.0 240 0 0 5500 5500
14:35:15 11004 0 179 38.8 38.7 18.3 16.1 8.4 0.0 12.0 2.3 256 0 0 5500 5500
14:36:16 11004 0 130 39.4 47.5 18.2 17.5 8.2 0.0 11.9 7.0 203 0 0 5500 5500
14:37:15 11004 0 183 38.4 35.1 18.5 16.0 9.5 0.0 12.2 3.1 244 0 0 5500 5500
14:38:16 11004 0 151 24.0 28.0 11.7 13.0 8.7 0.0 8.2 1.9 236 0 0 5500 5500
# LEVEL 50 OFF drop rules now: 1 2026-09-07T14:38:23Z 
14:39:15 11004 0 178 38.5 58.2 31.2 30.1 8.2 0.0 22.3 6.9 1210 0 1000 5500 4500
14:40:17 11004 0 209 39.1 66.1 31.2 34.4 7.9 0.0 22.0 11.7 1396 0 1191 5500 3300
14:41:15 11004 0 166 39.1 70.9 32.3 33.2 7.6 0.0 22.1 13.7 1407 0 1178 5500 2126
14:42:16 11004 0 206 38.6 69.7 32.3 34.1 7.4 0.0 22.0 13.5 1388 0 1165 5500 952
14:43:15 11004 0 148 24.3 45.7 20.2 22.3 8.6 0.0 14.1 7.7 973 0 830 5500 132
14:44:16 11004 0 190 38.2 67.6 29.9 30.5 7.9 0.0 21.7 13.3 131 0 131 4492 0
14:45:15 11004 0 194 38.9 64.6 29.7 29.5 8.9 0.0 21.8 12.2 0 0 0 3304 0
14:46:17 11004 0 189 39.4 70.2 31.1 30.6 8.2 0.0 21.7 12.1 0 0 0 2115 0
14:47:15 11004 0 227 39.2 64.4 30.5 29.5 7.8 0.0 21.7 13.1 0 0 0 964 0
# LEVEL 75 ON drop rules now: 3 2026-09-07T14:48:13Z  (octets 0-32, 8,250 devices)
14:48:16 11004 0 148 24.3 45.2 19.0 19.8 7.5 0.0 13.8 9.7 33 33 0 143 12
14:49:16 11004 5 164 39.3 27.4 10.4 9.8 8.6 0.0 6.7 6.2 1766 1766 0 1877 1877
14:50:15 11004 0 167 38.7 25.0 9.4 10.5 9.2 0.0 6.3 8.1 1795 1795 0 3647 3647
14:51:16 11004 0 116 39.5 36.2 10.6 10.1 6.7 0.0 7.1 5.3 1726 1726 0 5411 5411
14:52:15 11004 0 171 38.3 25.5 10.0 11.8 9.4 0.0 6.7 5.0 1769 1769 0 7145 7145
